,code,name,c_name
0,600038,中直股份,飞机制造
1,600118,中国卫星,飞机制造
2,600316,洪都航空,飞机制造
3,600343,航天动力,飞机制造
4,600372,中航电子,飞机制造
5,600391,航发科技,飞机制造
6,600879,航天电子,飞机制造
7,600893,航发动力,飞机制造
8,000738,航发控制,飞机制造
9,000768,中航飞机,飞机制造
10,000901,航天科技,飞机制造
11,002023,海特高新,飞机制造
12,002111,威海广泰,飞机制造
13,300424,航新科技,飞机制造
14,600097,开创国际,农林牧渔
15,600108,亚盛集团,农林牧渔
16,600127,金健米业,农林牧渔
17,600189,吉林森工,农林牧渔
18,600195,中牧股份,农林牧渔
19,600251,冠农股份,农林牧渔
20,600257,大湖股份,农林牧渔
21,600265,ST景谷,农林牧渔
22,600275,ST昌鱼,农林牧渔
23,600313,农发种业,农林牧渔
24,600354,敦煌种业,农林牧渔
25,600359,新农开发,农林牧渔
26,600371,万向德农,农林牧渔
27,600438,通威股份,农林牧渔
28,600467,好当家,农林牧渔
29,600506,香梨股份,农林牧渔
30,600540,新赛股份,农林牧渔
31,600598,北大荒,农林牧渔
32,600965,福成股份,农林牧渔
33,600975,新五丰,农林牧渔
34,601996,丰林集团,农林牧渔
35,603609,禾丰牧业,农林牧渔
36,000048,*ST康达,农林牧渔
37,000061,农 产 品,农林牧渔
38,000592,平潭发展,农林牧渔
39,000663,永安林业,农林牧渔
40,000702,正虹科技,农林牧渔
41,000713,丰乐种业,农林牧渔
42,000735,罗 牛 山,农林牧渔
43,000798,中水渔业,农林牧渔
44,000876,新 希 望,农林牧渔
45,000998,隆平高科,农林牧渔
46,002041,登海种业,农林牧渔
47,002069,獐子岛,农林牧渔
48,002086,东方海洋,农林牧渔
49,002100,天康生物,农林牧渔
50,002124,天邦股份,农林牧渔
51,002157,正邦科技,农林牧渔
52,002173,创新医疗,农林牧渔
53,002234,民和股份,农林牧渔
54,002299,圣农发展,农林牧渔
55,002311,海大集团,农林牧渔
56,002321,华英农业,农林牧渔
57,002385,大北农,农林牧渔
58,002447,晨鑫科技,农林牧渔
59,002458,益生股份,农林牧渔
60,002477,雏鹰农牧,农林牧渔
61,002505,大康农业,农林牧渔
62,002548,金新农,农林牧渔
63,002567,唐人神,农林牧渔
64,002679,福建金森,农林牧渔
65,002696,百洋股份,农林牧渔
66,002714,牧原股份,农林牧渔
67,002746,仙坛股份,农林牧渔
68,300021,大禹节水,农林牧渔
69,300087,荃银高科,农林牧渔
70,300094,国联水产,农林牧渔
71,300106,西部牧业,农林牧渔
72,300143,星普医科,农林牧渔
73,300186,大华农,农林牧渔
74,300189,神农基因,农林牧渔
75,300268,佳沃股份,农林牧渔
76,300313,天山生物,农林牧渔
77,300381,溢多利,农林牧渔
78,600145,*ST新亿,陶瓷行业
79,600286,S*ST国瓷,陶瓷行业
80,603268,松发股份,陶瓷行业
81,002102,冠福股份,陶瓷行业
82,002162,悦心健康,陶瓷行业
83,300089,文化长城,陶瓷行业
84,300234,开尔新材,陶瓷行业
85,300409,道氏技术,陶瓷行业
86,600061,国投资本,化纤行业
87,600063,皖维高新,化纤行业
88,600527,江南高纤,化纤行业
89,600810,神马股份,化纤行业
90,600889,南京化纤,化纤行业
91,601113,华鼎股份,化纤行业
92,601233,桐昆股份,化纤行业
93,000420,吉林化纤,化纤行业
94,000584,哈工智能,化纤行业
95,000615,京汉股份,化纤行业
96,000677,恒天海龙,化纤行业
97,000687,华讯方舟,化纤行业
98,000703,恒逸石化,化纤行业
99,000782,美达股份,化纤行业
100,000936,华西股份,化纤行业
101,000949,新乡化纤,化纤行业
102,000976,华铁股份,化纤行业
103,002015,霞客环保,化纤行业
104,002064,华峰氨纶,化纤行业
105,002080,中材科技,化纤行业
106,002172,澳洋科技,化纤行业
107,002206,海 利 得,化纤行业
108,002254,泰和新材,化纤行业
109,002427,*ST尤夫,化纤行业
110,002493,荣盛石化,化纤行业
111,300180,华峰超纤,化纤行业
112,600072,中船科技,船舶制造
113,600150,*ST船舶,船舶制造
114,600685,中船防务,船舶制造
115,601890,亚星锚链,船舶制造
116,601989,中国重工,船舶制造
117,002608,江苏国信,船舶制造
118,300008,天海防务,船舶制造
119,300123,亚光科技,船舶制造
120,600007,中国国贸,开发区
121,600064,南京高科,开发区
122,600215,长春经开,开发区
123,600604,市北高新,开发区
124,600639,浦东金桥,开发区
125,600648,外高桥,开发区
126,600658,电子城,开发区
127,600736,苏州高新,开发区
128,600895,张江高科,开发区
129,000628,高新发展,开发区
130,600050,中国联通,电子信息
131,600074,*ST保千,电子信息
132,600076,康欣新材,电子信息
133,600100,同方股份,电子信息
134,600105,永鼎股份,电子信息
135,600130,波导股份,电子信息
136,600198,*ST大唐,电子信息
137,600271,航天信息,电子信息
138,600288,大恒科技,电子信息
139,600289,*ST信通,电子信息
140,600330,天通股份,电子信息
141,600345,长江通信,电子信息
142,600406,国电南瑞,电子信息
143,600410,华胜天成,电子信息
144,600446,金证股份,电子信息
145,600455,博通股份,电子信息
146,600476,湘邮科技,电子信息
147,600485,信威集团,电子信息
148,600487,亨通光电,电子信息
149,600498,烽火通信,电子信息
150,600522,中天科技,电子信息
151,600536,中国软件,电子信息
152,600556,ST慧球,电子信息
153,600562,国睿科技,电子信息
154,600570,恒生电子,电子信息
155,600571,信雅达,电子信息
156,600588,用友网络,电子信息
157,600601,方正科技,电子信息
158,600608,ST沪科,电子信息
159,600654,ST中安,电子信息
160,600677,航天通信,电子信息
161,600680,*ST上普,电子信息
162,600718,东软集团,电子信息
163,600728,佳都科技,电子信息
164,600734,实达集团,电子信息
165,600756,浪潮软件,电子信息
166,600764,中国海防,电子信息
167,600775,南京熊猫,电子信息
168,600776,东方通信,电子信息
169,600797,浙大网新,电子信息
170,600804,鹏博士,电子信息
171,600845,宝信软件,电子信息
172,600850,华东电脑,电子信息
173,600990,四创电子,电子信息
174,601519,大智慧,电子信息
175,603000,人民网,电子信息
176,603019,中科曙光,电子信息
177,603025,大豪科技,电子信息
178,603636,南威软件,电子信息
179,000021,深科技,电子信息
180,000032,深桑达Ａ,电子信息
181,000035,中国天楹,电子信息
182,000063,中兴通讯,电子信息
183,000066,中国长城,电子信息
184,000070,特发信息,电子信息
185,000503,国新健康,电子信息
186,000532,华金资本,电子信息
187,000547,航天发展,电子信息
188,000555,神州信息,电子信息
189,000561,烽火电子,电子信息
190,000586,汇源通信,电子信息
191,000681,视觉中国,电子信息
192,000711,京蓝科技,电子信息
193,000748,长城信息,电子信息
194,000787,*ST创智,电子信息
195,000801,四川九洲,电子信息
196,000805,*ST炎黄,电子信息
197,000836,鑫茂科技,电子信息
198,000851,高鸿股份,电子信息
199,000892,欢瑞世纪,电子信息
200,000938,紫光股份,电子信息
201,000948,南天信息,电子信息
202,000970,中科三环,电子信息
203,000977,浪潮信息,电子信息
204,000997,新 大 陆,电子信息
205,002017,东信和平,电子信息
206,002027,分众传媒,电子信息
207,002052,同洲电子,电子信息
208,002063,远光软件,电子信息
209,002065,东华软件,电子信息
210,002073,软控股份,电子信息
211,002089,新 海 宜,电子信息
212,002090,金智科技,电子信息
213,002093,国脉科技,电子信息
214,002095,生 意 宝,电子信息
215,002115,三维通信,电子信息
216,002148,北纬科技,电子信息
217,002151,北斗星通,电子信息
218,002152,广电运通,电子信息
219,002153,石基信息,电子信息
220,002161,远 望 谷,电子信息
221,002174,游族网络,电子信息
222,002177,御银股份,电子信息
223,002180,纳思达,电子信息
224,002184,海得控制,电子信息
225,002194,*ST凡谷,电子信息
226,002195,二三四五,电子信息
227,002230,科大讯飞,电子信息
228,002231,奥维通信,电子信息
229,002232,启明信息,电子信息
230,600039,XD四川路,建筑建材
231,600068,葛洲坝,建筑建材
232,600170,上海建工,建筑建材
233,600248,延长化建,建筑建材
234,600263,路桥建设,建筑建材
235,600284,浦东建设,建筑建材
236,600321,*ST正源,建筑建材
237,600326,西藏天路,建筑建材
238,600491,XD龙元建,建筑建材
239,600502,安徽水利,建筑建材
240,600512,腾达建设,建筑建材
241,600528,中铁工业,建筑建材
242,600545,卓郎智能,建筑建材
243,600634,*ST富控,建筑建材
244,600681,百川能源,建筑建材
245,600820,隧道股份,建筑建材
246,600853,龙建股份,建筑建材
247,600970,中材国际,建筑建材
248,600986,科达股份,建筑建材
249,601117,中国化学,建筑建材
250,601186,中国铁建,建筑建材
251,601390,中国中铁,建筑建材
252,601618,中国中冶,建筑建材
253,601668,中国建筑,建筑建材
254,601669,中国电建,建筑建材
255,601789,宁波建工,建筑建材
256,601800,中国交建,建筑建材
257,601886,江河集团,建筑建材
258,603017,中衡设计,建筑建材
259,603018,中设集团,建筑建材
260,603030,全筑股份,建筑建材
261,603828,柯利达,建筑建材
262,603969,银龙股份,建筑建材
263,000010,美丽生态,建筑建材
264,000023,深天地Ａ,建筑建材
265,000055,方大集团,建筑建材
266,000065,北方国际,建筑建材
267,000090,天健集团,建筑建材
268,000498,山东路桥,建筑建材
269,000509,华塑控股,建筑建材
270,000619,海螺型材,建筑建材
271,000786,北新建材,建筑建材
272,000928,中钢国际,建筑建材
273,000961,中南建设,建筑建材
274,002043,兔 宝 宝,建筑建材
275,002047,宝鹰股份,建筑建材
276,002051,中工国际,建筑建材
277,002060,粤 水 电,建筑建材
278,002062,宏润建设,建筑建材
279,002066,瑞泰科技,建筑建材
280,002081,金 螳 螂,建筑建材
281,002116,中国海诚,建筑建材
282,002135,东南网架,建筑建材
283,002140,东华科技,建筑建材
284,002163,中航三鑫,建筑建材
285,002178,延华智能,建筑建材
286,002205,国统股份,建筑建材
287,002225,濮耐股份,建筑建材
288,002247,帝龙文化,建筑建材
289,002271,东方雨虹,建筑建材
290,002307,北新路桥,建筑建材
291,002310,东方园林,建筑建材
292,002314,南山控股,建筑建材
293,002325,洪涛股份,建筑建材
294,002372,伟星新材,建筑建材
295,002375,亚厦股份,建筑建材
296,002392,北京利尔,建筑建材
297,002398,建研集团,建筑建材
298,002431,棕榈股份,建筑建材
299,002468,申通快递,建筑建材
300,002469,三维工程,建筑建材
301,002482,广田集团,建筑建材
302,002542,中化岩土,建筑建材
303,002586,围海股份,建筑建材
304,002596,海南瑞泽,建筑建材
305,002620,瑞和股份,建筑建材
306,002628,成都路桥,建筑建材
307,002652,扬子新材,建筑建材
308,002659,凯文教育,建筑建材
309,002663,普邦股份,建筑建材
310,002671,龙泉股份,建筑建材
311,002713,东易日盛,建筑建材
312,002717,岭南股份,建筑建材
313,002738,中矿资源,建筑建材
314,002742,三圣股份,建筑建材
315,300080,易成新能,建筑建材
316,300117,嘉寓股份,建筑建材
317,300163,先锋新材,建筑建材
318,300284,苏交科,建筑建材
319,300344,太空智造,建筑建材
320,300374,恒通科技,建筑建材
321,600056,中国医药,商业百货
322,600122,宏图高科,商业百货
323,600136,当代明诚,商业百货
324,600280,中央商场,商业百货
325,600306,商业城,商业百货
326,600327,大东方,商业百货
327,600361,华联综超,商业百货
328,600415,小商品城,商业百货
329,600511,国药股份,商业百货
330,600515,海航基础,商业百货
331,600628,新世界,商业百货
332,600631,百联股份,商业百货
333,600655,豫园股份,商业百货
334,600682,南京新百,商业百货
335,600693,东百集团,商业百货
336,600694,大商股份,商业百货
337,600697,欧亚集团,商业百货
338,600712,南宁百货,商业百货
339,600713,南京医药,商业百货
340,600723,首商股份,商业百货
341,600729,重庆百货,商业百货
342,600738,兰州民百,商业百货
343,600753,东方银星,商业百货
344,600774,汉商集团,商业百货
345,600778,*ST友好,商业百货
346,600785,新华百货,商业百货
347,600790,轻纺城,商业百货
348,600814,杭州解百,商业百货
349,600821,津劝业,商业百货
350,600824,益民集团,商业百货
351,600827,百联股份,商业百货
352,600828,茂业商业,商业百货
353,600833,第一医药,商业百货
354,600838,上海九百,商业百货
355,600856,中天能源,商业百货
356,600857,宁波中百,商业百货
357,600858,银座股份,商业百货
358,600859,王府井,商业百货
359,600861,北京城乡,商业百货
360,600865,百大集团,商业百货
361,600891,秋林集团,商业百货
362,600898,国美通讯,商业百货
363,600998,九州通,商业百货
364,601010,文峰股份,商业百货
365,601116,三江购物,商业百货
366,601607,上海医药,商业百货
367,601933,永辉超市,商业百货
368,603123,翠微股份,商业百货
369,603368,柳药股份,商业百货
370,603883,老百姓,商业百货
371,603939,益丰药房,商业百货
372,000026,飞亚达Ａ,商业百货
373,000028,国药一致,商业百货
374,000062,深圳华强,商业百货
375,000408,藏格控股,商业百货
376,000411,英特集团,商业百货
377,000416,民生控股,商业百货
378,000417,合肥百货,商业百货
379,000419,通程控股,商业百货
380,000501,鄂武商Ａ,商业百货
381,000516,国际医学,商业百货
382,000560,我爱我家,商业百货
383,000564,供销大集,商业百货
384,000587,金洲慈航,商业百货
385,000591,太阳能,商业百货
386,000638,万方发展,商业百货
387,000679,大连友谊,商业百货
388,000705,浙江震元,商业百货
389,000715,中兴商业,商业百货
390,000759,中百集团,商业百货
391,000785,武汉中商,商业百货
392,000829,天音控股,商业百货
393,000882,华联股份,商业百货
394,000889,茂业通信,商业百货
395,000906,浙商中拓,商业百货
396,000987,越秀金控,商业百货
397,002024,苏宁易购,商业百货
398,002187,广百股份,商业百货
399,002251,步 步 高,商业百货
400,002264,新 华 都,商业百货
401,002277,友阿股份,商业百货
402,002336,人人乐,商业百货
403,002344,海宁皮城,商业百货
404,002416,爱施德,商业百货
405,002419,天虹股份,商业百货
406,002441,众业达,商业百货
407,002462,嘉事堂,商业百货
408,002556,辉隆股份,商业百货
409,002561,徐家汇,商业百货
410,002589,瑞康医药,商业百货
411,002697,红旗连锁,商业百货
412,300022,吉峰农机,商业百货
413,300413,快乐购,商业百货
414,600008,首创股份,环保行业
415,600292,远达环保,环保行业
416,600874,创业环保,环保行业
417,603126,中材节能,环保行业
418,603588,高能环境,环保行业
419,603686,龙马环卫,环保行业
420,000544,中原环保,环保行业
421,000598,兴蓉环境,环保行业
422,000826,启迪桑德,环保行业
423,002200,云投生态,环保行业
424,002549,凯美特气,环保行业
425,002573,清新环境,环保行业
426,002616,长青集团,环保行业
427,002672,东江环保,环保行业
428,300055,万邦达,环保行业
429,300070,碧水源,环保行业
430,300156,神雾环保,环保行业
431,300172,中电环保,环保行业
432,300187,永清环保,环保行业
433,300190,维尔利,环保行业
434,300197,铁汉生态,环保行业
435,300262,巴安水务,环保行业
436,300332,天壕环境,环保行业
437,300335,迪森股份,环保行业
438,300355,蒙草生态,环保行业
439,300388,国祯环保,环保行业
440,300422,博世科,环保行业
441,600002,齐鲁石化,石油行业
442,600028,中国石化,石油行业
443,600387,海越股份,石油行业
444,600583,海油工程,石油行业
445,600688,上海石化,石油行业
446,600759,洲际油气,石油行业
447,600871,*ST油服,石油行业
448,601808,中海油服,石油行业
449,601857,中国石油,石油行业
450,603003,龙宇燃油,石油行业
451,000059,华锦股份,石油行业
452,000096,广聚能源,石油行业
453,000159,国际实业,石油行业
454,000554,泰山石油,石油行业
455,000637,茂化实华,石油行业
456,000819,岳阳兴长,石油行业
457,002207,*ST准油,石油行业
458,002221,东华能源,石油行业
459,002554,惠博普,石油行业
460,002629,仁智股份,石油行业
461,300084,海默科技,石油行业
462,300157,恒泰艾普,石油行业
463,300164,通源石油,石油行业
464,300191,潜能恒信,石油行业
465,600011,华能国际,电力行业
466,600021,上海电力,电力行业
467,600023,浙能电力,电力行业
468,600027,华电国际,电力行业
469,600098,广州发展,电力行业
470,600101,明星电力,电力行业
471,600110,诺德股份,电力行业
472,600116,三峡水利,电力行业
473,600131,岷江水电,电力行业
474,600236,桂冠电力,电力行业
475,600310,桂东电力,电力行业
476,600396,金山股份,电力行业
477,600452,涪陵电力,电力行业
478,600483,福能股份,电力行业
479,600505,西昌电力,电力行业
480,600509,天富能源,电力行业
481,600578,京能电力,电力行业
482,600642,申能股份,电力行业
483,600644,乐山电力,电力行业
484,600674,川投能源,电力行业
485,600726,华电能源,电力行业
486,600744,华银电力,电力行业
487,600769,祥龙电业,电力行业
488,600780,通宝能源,电力行业
489,600795,国电电力,电力行业
490,600863,内蒙华电,电力行业
491,600864,哈投股份,电力行业
492,600868,梅雁吉祥,电力行业
493,600869,智慧能源,电力行业
494,600886,国投电力,电力行业
495,600900,长江电力,电力行业
496,600969,郴电国际,电力行业
497,600979,XD广安爱,电力行业
498,600995,文山电力,电力行业
499,601016,节能风电,电力行业
500,601991,大唐发电,电力行业
501,000027,深圳能源,电力行业
502,000037,深南电A,电力行业
503,000531,穗恒运Ａ,电力行业
504,000539,粤电力Ａ,电力行业
505,000543,皖能电力,电力行业
506,000600,建投能源,电力行业
507,000601,韶能股份,电力行业
508,000602,金马集团,电力行业
509,000690,宝新能源,电力行业
510,000720,*ST新能,电力行业
511,000722,湖南发展,电力行业
512,000767,漳泽电力,电力行业
513,000791,甘肃电投,电力行业
514,000862,银星能源,电力行业
515,000875,吉电股份,电力行业
516,000883,湖北能源,电力行业
517,000899,赣能股份,电力行业
518,000939,*ST凯迪,电力行业
519,000958,东方能源,电力行业
520,000966,长源电力,电力行业
521,000993,闽东电力,电力行业
522,001896,豫能控股,电力行业
523,002039,黔源电力,电力行业
524,002479,富春环保,电力行业
525,002692,睿康股份,电力行业
526,300423,鲁亿通,电力行业
527,600217,中再资环,水泥行业
528,600318,新力金融,水泥行业
529,600425,青松建化,水泥行业
530,600449,宁夏建材,水泥行业
531,600539,*ST狮头,水泥行业
532,600553,太行水泥,水泥行业
533,600585,海螺水泥,水泥行业
534,600668,尖峰集团,水泥行业
535,600678,四川金顶,水泥行业
536,600720,祁连山,水泥行业
537,600801,华新水泥,水泥行业
538,600802,福建水泥,水泥行业
539,600881,亚泰集团,水泥行业
540,600883,博闻科技,水泥行业
541,601992,金隅集团,水泥行业
542,000401,冀东水泥,水泥行业
543,000546,金圆股份,水泥行业
544,000672,上峰水泥,水泥行业
545,000789,万年青,水泥行业
546,000877,天山股份,水泥行业
547,000885,同力水泥,水泥行业
548,000935,四川双马,水泥行业
549,002233,塔牌集团,水泥行业
550,002302,西部建设,水泥行业
551,002346,柘中股份,水泥行业
552,002619,艾格拉斯,水泥行业
553,600069,银鸽投资,造纸行业
554,600103,青山纸业,造纸行业
555,600163,中闽能源,造纸行业
556,600235,民丰特纸,造纸行业
557,600308,华泰股份,造纸行业
558,600356,恒丰纸业,造纸行业
559,600433,冠豪高新,造纸行业
560,600462,九有股份,造纸行业
561,600567,山鹰纸业,造纸行业
562,600793,宜宾纸业,造纸行业
563,600963,岳阳林纸,造纸行业
564,600966,博汇纸业,造纸行业
565,000488,晨鸣纸业,造纸行业
566,000815,美利云,造纸行业
567,000820,神雾节能,造纸行业
568,000833,贵糖股份,造纸行业
569,002012,凯恩股份,造纸行业
570,002067,景兴纸业,造纸行业
571,002078,太阳纸业,造纸行业
572,002235,安妮股份,造纸行业
573,002303,美盈森,造纸行业
574,002511,中顺洁柔,造纸行业
575,002521,齐峰新材,造纸行业
576,002565,顺灏股份,造纸行业
577,600176,中国巨石,玻璃行业
578,600184,光电股份,玻璃行业
579,600293,三峡新材,玻璃行业
580,600529,山东药玻,玻璃行业
581,600552,凯盛科技,玻璃行业
582,600586,金晶科技,玻璃行业
583,600629,华建集团,玻璃行业
584,600819,耀皮玻璃,玻璃行业
585,600876,洛阳玻璃,玻璃行业
586,601636,旗滨集团,玻璃行业
587,603021,山东华鹏,玻璃行业
588,603601,再升科技,玻璃行业
589,000012,南 玻Ａ,玻璃行业
590,002571,德力股份,玻璃行业
591,002623,亚玛顿,玻璃行业
592,300093,金刚玻璃,玻璃行业
593,300160,秀强股份,玻璃行业
594,300196,长海股份,玻璃行业
595,300395,菲利华,玻璃行业
596,601066,中信建投,次新股
597,601138,工业富联,次新股
598,601330,绿色动力,次新股
599,601990,南京证券,次新股
600,603045,福达合金,次新股
601,603105,N芯能,次新股
602,603486,科沃斯,次新股
603,603587,地素时尚,次新股
604,603650,彤程新材,次新股
